trial,mu,n,iteration,n_surviving_edges,conductivity_entropy
0,0.5,50,10,1225,7.090287589625074
0,0.5,50,25,1179,7.00702628728256
0,0.5,50,50,254,5.41464972595507
0,0.5,50,100,237,5.340342833192221
0,0.5,50,150,238,5.344338384672961
0,0.5,50,200,238,5.344339954450918
0,0.5,50,300,238,5.344340098539797
0,0.5,50,500,238,5.344340099402611
0,1.0,50,10,1225,7.091971241891807
0,1.0,50,25,812,6.680186801124948
0,1.0,50,50,7,1.7128500532954782
0,1.0,50,100,9,1.9664178381254505
0,1.0,50,150,9,1.986912010021304
0,1.0,50,200,9,1.9954991766889925
0,1.0,50,300,11,2.1831375795453893
0,1.0,50,500,14,2.404230531197732
0,2.0,50,10,1225,7.092428429523486
0,2.0,50,25,762,6.629886368845735
0,2.0,50,50,2,0.644067173443099
0,2.0,50,100,3,1.0028182615802839
0,2.0,50,150,9,2.1972035105273107
0,2.0,50,200,9,2.197224576666401
0,2.0,50,300,9,2.1972245773362102
0,2.0,50,500,9,2.1972245773362102
1,0.5,50,10,1225,7.091922446316172
1,0.5,50,25,1191,7.020730545408571
1,0.5,50,50,114,4.659272841948006
1,0.5,50,100,109,4.614967951645032
1,0.5,50,150,109,4.614645041732276
1,0.5,50,200,109,4.614621428833184
1,0.5,50,300,109,4.614619477812258
1,0.5,50,500,109,4.614619466194444
1,1.0,50,10,1225,7.092961172336817
1,1.0,50,25,817,6.695576239106275
1,1.0,50,50,9,2.1411756361633465
1,1.0,50,100,12,2.439048392531665
1,1.0,50,150,11,2.3703131152149055
1,1.0,50,200,10,2.2838478432073392
1,1.0,50,300,10,2.263416668238735
1,1.0,50,500,13,2.480784517363299
1,2.0,50,10,1225,7.092934449412242
1,2.0,50,25,766,6.6357462677966765
1,2.0,50,50,0,-0.0
1,2.0,50,100,5,1.4848521306954634
1,2.0,50,150,6,1.7917549496845346
1,2.0,50,200,6,1.791759469089297
1,2.0,50,300,6,1.791759469228049
1,2.0,50,500,6,1.791759469228049
2,0.5,50,10,1225,7.090976393526478
2,0.5,50,25,1176,7.005486843869738
2,0.5,50,50,193,5.1410797787504325
2,0.5,50,100,179,5.061963470431355
2,0.5,50,150,179,5.061781255284972
2,0.5,50,200,179,5.06176992110559
2,0.5,50,300,179,5.061768995061603
2,0.5,50,500,179,5.061768989550798
2,1.0,50,10,1225,7.092305404721107
2,1.0,50,25,800,6.670165836214391
2,1.0,50,50,7,1.7314743307199694
2,1.0,50,100,10,2.0927036223101787
2,1.0,50,150,10,2.1289537254164816
2,1.0,50,200,10,2.1343363469186727
2,1.0,50,300,10,2.1208170878368957
2,1.0,50,500,11,2.228103477267305
2,2.0,50,10,1225,7.092393230577223
2,2.0,50,25,748,6.6121146107041975
2,2.0,50,50,1,-1.110223024625156e-15
2,2.0,50,100,4,1.3209138522923203
2,2.0,50,150,7,1.9459090373697987
2,2.0,50,200,7,1.9459101490185344
2,2.0,50,300,7,1.9459101490553063
2,2.0,50,500,7,1.9459101490553063
3,0.5,50,10,1225,7.091946459703972
3,0.5,50,25,1189,7.020932315159514
3,0.5,50,50,168,5.00020650626763
3,0.5,50,100,152,4.904166668675199
3,0.5,50,150,152,4.904273711488417
3,0.5,50,200,152,4.90428451092221
3,0.5,50,300,152,4.90428541856534
3,0.5,50,500,152,4.9042854239751925
3,1.0,50,10,1225,7.092827924976708
3,1.0,50,25,820,6.698855520984471
3,1.0,50,50,5,1.6017763196292765
3,1.0,50,100,5,1.598871010569248
3,1.0,50,150,7,1.8565927609440143
3,1.0,50,200,7,1.8626164454063554
3,1.0,50,300,7,1.8520653153178162
3,1.0,50,500,9,2.045637219572306
3,2.0,50,10,1225,7.0927692726584946
3,2.0,50,25,765,6.634274400117832
3,2.0,50,50,0,-0.0
3,2.0,50,100,3,0.9840832363211831
3,2.0,50,150,5,1.6093961135918349
3,2.0,50,200,5,1.6094379110534516
3,2.0,50,300,5,1.6094379124340956
3,2.0,50,500,5,1.6094379124340952
4,0.5,50,10,1225,7.089508591131213
4,0.5,50,25,1195,7.022072090399737
4,0.5,50,50,230,5.312079561663662
4,0.5,50,100,217,5.247634870660763
4,0.5,50,150,215,5.238858697846409
4,0.5,50,200,215,5.238862973453438
4,0.5,50,300,215,5.238863342658858
4,0.5,50,500,215,5.2388633448625965
4,1.0,50,10,1225,7.091000185598838
4,1.0,50,25,785,6.6495011718311385
4,1.0,50,50,6,1.6575743936603713
4,1.0,50,100,7,1.781385499765382
4,1.0,50,150,7,1.7616355119658804
4,1.0,50,200,6,1.6285542652208758
4,1.0,50,300,7,1.7452212287534639
4,1.0,50,500,13,2.3085065851674
4,2.0,50,10,1225,7.091272884128363
4,2.0,50,25,741,6.602246340914997
4,2.0,50,50,2,0.5994059892354362
4,2.0,50,100,4,1.1048076379750758
4,2.0,50,150,6,1.7917373644919494
4,2.0,50,200,6,1.7917594684900973
4,2.0,50,300,6,1.7917594692280487
4,2.0,50,500,6,1.791759469228049
5,0.5,50,10,1225,7.090778380198333
5,0.5,50,25,1183,7.013037690731401
5,0.5,50,50,199,5.171676707234331
5,0.5,50,100,183,5.085336249454506
5,0.5,50,150,184,5.090072365226148
5,0.5,50,200,184,5.0900591701883275
5,0.5,50,300,184,5.090058089016109
5,0.5,50,500,184,5.090058082581015
5,1.0,50,10,1225,7.091713819094829
5,1.0,50,25,821,6.692427290454235
5,1.0,50,50,10,2.018272187341298
5,1.0,50,100,9,1.9496994127662248
5,1.0,50,150,8,1.8637078891830803
5,1.0,50,200,8,1.8759105135696257
5,1.0,50,300,8,1.8972246588115234
5,1.0,50,500,9,2.025381050165885
5,2.0,50,10,1225,7.0919313529048695
5,2.0,50,25,770,6.6396168824868855
5,2.0,50,50,1,-1.110223024625156e-15
5,2.0,50,100,4,1.0542183595595875
5,2.0,50,150,5,1.609068696447475
5,2.0,50,200,5,1.60943788392674
5,2.0,50,300,5,1.6094379124340952
5,2.0,50,500,5,1.6094379124340956
6,0.5,50,10,1225,7.090229826758277
6,0.5,50,25,1193,7.022453451184489
6,0.5,50,50,224,5.275170451991718
