trial,lambda,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
0,0.0,20,10.244234108887307,1.1707536504247114,0.8973684210526315,0.05548213365451287,2.8190411467862613,5,0.5970588235294119,24,3.1204793835113622
0,0.1,20,9.660433397231852,1.000825485979057,0.9684210526315787,0.15929296095163953,3.0358772427857654,7,0.5559101654846332,26,2.942648804335153
0,0.25,20,10.192720770613008,0.9956934871344287,0.9815789473684211,0.18645575141744436,3.223480731152624,11,0.457068062827225,30,3.10478798985985
0,0.5,20,8.076164179977825,0.7220196696412664,1.0,0.39582847655014075,3.1445487495374773,10,0.39117647058823524,29,2.46006715129737
0,0.75,20,7.416020588486439,0.6302604594485974,1.0,0.4447942355169359,3.142263172775741,10,0.4515037593984961,29,2.2589818924570912
0,0.9,20,8.323024472333998,0.5965988120343311,1.0,0.5077356974254719,3.2876860784504554,14,0.4888888888888887,33,2.5352628608757697
0,1.0,20,8.131184110589405,0.6024730656397037,1.0,0.49907922072764066,3.297581432824052,14,0.4573569482288826,33,2.476826682300934
1,0.0,20,8.320122938198189,1.0945652165284119,0.881578947368421,0.0472148586478254,2.8426089022460483,5,0.5165217391304344,24,2.7000126463400926
1,0.1,20,8.647395763737418,1.0808178838851588,0.8947368421052632,0.05053362648758827,3.0778985423141956,8,0.5559016393442622,27,2.8062179000752896
1,0.25,20,7.6273815604140465,0.7827195708147338,0.9894736842105262,0.22286300372578655,3.2097774368937952,9,0.3937994722955147,28,2.4752070161164
1,0.5,20,7.818286828387654,0.6639979681807148,0.9973684210526315,0.35378802900538064,3.299966478545094,12,0.3491666666666664,31,2.537158821589759
1,0.75,20,7.764800586322495,0.6068425152178613,0.9973684210526315,0.37272211768569286,3.366648204333892,14,0.3918604651162789,33,2.519801682632337
1,0.9,20,6.359526183152317,0.6067231719092886,1.0,0.23501823387492743,3.2810952926252774,11,0.4038812785388124,30,2.0637677167497137
