method,n,cost_mean,cost_std,efficiency_mean,efficiency_std,robustness_mean,robustness_std,algebraic_connectivity_mean,algebraic_connectivity_std,network_entropy_mean,network_entropy_std,cyclomatic_number_mean,cyclomatic_number_std,betweenness_gini_mean,betweenness_gini_std,num_edges_mean,num_edges_std,steiner_ratio_mean,steiner_ratio_std
MST,20,3.090751535613224,0.24559873715651723,0.8559770055390394,0.1207716929506739,0.8456140350877193,0.0222690043652064,0.04412967960037529,0.010392839300716803,2.805573682189716,0.04484097366325996,0.0,0.0,0.5023087418211988,0.05140572336544996,19.0,0.0,1.0,0.0
MST,50,4.807969933845638,0.23178520051725843,1.01343454363033,0.11266498020930552,0.868843537414966,0.02177342782507083,0.009029051710776375,0.002307609071399795,3.7551670320110975,0.02733520597721801,0.0,0.0,0.5341184388498391,0.03061717062358768,49.0,0.0,1.0,0.0
MST,100,6.729519656454981,0.23725537167437769,1.1469485086295372,0.15036209930414388,0.8913299663299663,0.017942052422511533,0.002860233776609019,0.0007837276557886531,4.469168837668025,0.01740988032377288,0.0,0.0,0.5841362590515474,0.026737803276594023,99.0,0.0,1.0,0.0
Physarum,20,9.025035340963107,1.903989844599092,1.0733688702033668,0.12314898911120642,0.8971929824561403,0.026791822706526972,0.0675955866388105,0.021187970755868916,2.8594291524103324,0.10818302568663508,5.6,2.061134605519243,0.5619008704218368,0.05954895427927635,24.6,2.0611346055192414,2.93176120682997,0.6376817537638639
Physarum,50,8.808564248488842,1.7470470548006574,1.4456923608178023,0.19277481122664578,0.9022176870748299,0.01257846542289365,0.012465679805792641,0.002617940753119165,3.467241848121153,0.09443078954294669,1.6333333333333333,1.8096167118144553,0.5995898233173235,0.027931577762346244,50.63333333333333,1.8096167118144542,1.84004176526949,0.397766643119052
Physarum,100,7.620720823401623,0.6524031639327393,1.2586225964069653,0.1529792808210929,0.8931481481481481,0.01587620421657015,0.0028587859531427327,0.0007216843503785081,4.401559861578069,0.04674050240309607,0.06666666666666667,0.2537081317024624,0.5951605261914535,0.02690316976848783,99.06666666666666,0.2537081317024631,1.131544661965057,0.07475105871311666
RGG,20,7.872593865901137,1.3135018265639067,0.7088334473703569,0.13244271052282836,0.9573684210526315,0.02942113542125104,0.16399541810244206,0.08595021723375555,3.586059076574289,0.16817175063562695,20.9,6.271720876969947,0.6394944662566123,0.06795146654964898,39.9,6.271720876969947,2.5748028462927093,0.5369301395235675
RGG,50,48.96206997218233,4.894724686219736,0.5583160207806264,0.0409579095232011,0.9997006802721089,0.0007498118763011515,0.6527965219340803,0.20637919204244837,5.4608485149704915,0.09467667368896192,208.2,23.640117859557993,0.6041878800776439,0.05385610421721509,257.2,23.640117859558003,10.221302015108291,1.3019889516574645
RGG,100,205.0683945512986,11.994469855963576,0.5274630480253348,0.018642496683551293,1.0,0.0,1.944128100026176,0.3247321375145448,6.8876476955877965,0.05578901894216252,965.8,59.932375684369575,0.5686739599308402,0.029638759253294733,1064.8,59.932375684369546,30.525468943413284,2.362409565421168
kNN,20,8.102597791090398,0.8490379583587327,0.7149656994557514,0.12052083421837087,0.9714035087719298,0.025172376719062032,0.1657736189158707,0.07815710464014462,3.5265434785863277,0.04770831314335723,19.233333333333334,1.6120950886075684,0.6306257601360704,0.06853276048021466,38.233333333333334,1.6120950886075678,2.6214221655742236,0.1876879519962262
kNN,50,11.61339308282886,0.6377968384453948,0.8654371023148735,0.1282857926733869,0.9730884353741497,0.018272782867634323,0.03421159224043504,0.01795848780193045,4.425263282777748,0.039821981678763343,45.53333333333333,2.9211869733608866,0.6317536424511925,0.04665404048466175,94.53333333333333,2.9211869733608866,2.4169863625307713,0.107485630122352
kNN,100,15.998237736454566,0.6300179781811261,0.9179933227551023,0.14594213644811613,0.9805723905723905,0.015616533653811363,0.012432605191209124,0.006983922707297285,5.133764825551864,0.020618643873293253,90.33333333333333,3.437454283917533,0.6550469596905006,0.045180116827975285,189.33333333333334,3.4374542839175306,2.3781387876801072,0.07576053243062814
