trial,train,eval,routing_cost
0,fixed,fixed,1.3245790090770833
0,fixed,uniform,1.5490742225749747
0,fixed,hubspoke,1.6222727455645658
0,uniform,fixed,1.765315787127164
0,uniform,uniform,0.7114935571098718
0,uniform,hubspoke,0.5831823668585475
0,hubspoke,fixed,1.6722571224490914
0,hubspoke,uniform,0.7774499228924464
0,hubspoke,hubspoke,0.49720050588919573
1,fixed,fixed,1.3277547395390112
1,fixed,uniform,1.6109660303863023
1,fixed,hubspoke,1.425232584087837
1,uniform,fixed,1.711563368731444
1,uniform,uniform,0.6958499738244895
1,uniform,hubspoke,0.5101750132326739
1,hubspoke,fixed,1.8457434577958851
1,hubspoke,uniform,0.8838512322436719
1,hubspoke,hubspoke,0.5341231779932434
2,fixed,fixed,1.3239199264550137
2,fixed,uniform,1.6985970115736262
2,fixed,hubspoke,1.5855039865139824
2,uniform,fixed,1.5989832204586085
2,uniform,uniform,0.586905979637873
2,uniform,hubspoke,0.4346606152858549
2,hubspoke,fixed,1.6060845039466891
2,hubspoke,uniform,0.7057712602999986
2,hubspoke,hubspoke,0.4211833506099594
3,fixed,fixed,1.2435927174432821
3,fixed,uniform,1.0061368362982204
3,fixed,hubspoke,0.6325439782369104
3,uniform,fixed,1.5142930761850497
3,uniform,uniform,0.6277819310144942
3,uniform,hubspoke,0.4880099951519631
3,hubspoke,fixed,1.6779354968820952
3,hubspoke,uniform,0.7558859109280415
3,hubspoke,hubspoke,0.4540890357216871
4,fixed,fixed,1.2544938723403412
4,fixed,uniform,1.4192271165512362
4,fixed,hubspoke,1.1213747480631442
4,uniform,fixed,1.5075690231697945
4,uniform,uniform,0.6332473318263362
4,uniform,hubspoke,0.531734663054511
4,hubspoke,fixed,1.4207907608556472
4,hubspoke,uniform,0.7990002248137716
4,hubspoke,hubspoke,0.48398608822426886
5,fixed,fixed,1.217743243586856
5,fixed,uniform,1.3370907324151702
5,fixed,hubspoke,1.5270565496325752
5,uniform,fixed,1.4500830536514602
5,uniform,uniform,0.6766724564086706
5,uniform,hubspoke,0.5414950427619595
5,hubspoke,fixed,1.9029309134430676
5,hubspoke,uniform,0.9208256900610761
5,hubspoke,hubspoke,0.5538854374249268
6,fixed,fixed,1.1541722357503217
6,fixed,uniform,1.236644098804313
6,fixed,hubspoke,0.9278453116325849
6,uniform,fixed,1.4110602706267723
6,uniform,uniform,0.6344920756853694
6,uniform,hubspoke,0.5036615006263147
6,hubspoke,fixed,1.7344649922806707
6,hubspoke,uniform,0.8143393507067714
6,hubspoke,hubspoke,0.4775438845828389
7,fixed,fixed,1.2798092124538245
7,fixed,uniform,1.2221994208894622
7,fixed,hubspoke,0.8030462254698254
7,uniform,fixed,1.5310446510679476
7,uniform,uniform,0.6421406987325707
7,uniform,hubspoke,0.47815478857711535
7,hubspoke,fixed,1.8063778004730335
7,hubspoke,uniform,0.8887045917673886
7,hubspoke,hubspoke,0.525476609021431
8,fixed,fixed,1.1850529210935872
8,fixed,uniform,1.4062431792514571
8,fixed,hubspoke,1.5961468997877506
8,uniform,fixed,1.4137455577420721
8,uniform,uniform,0.6480114217950813
8,uniform,hubspoke,0.5300435089792593
8,hubspoke,fixed,1.4311270475915547
8,hubspoke,uniform,0.7763219443844325
8,hubspoke,hubspoke,0.46534362072512064
9,fixed,fixed,1.231001186023502
9,fixed,uniform,1.3630498642109785
9,fixed,hubspoke,1.2571497233839393
9,uniform,fixed,1.5333199618425004
9,uniform,uniform,0.6824058633376555
9,uniform,hubspoke,0.5388136654146901
9,hubspoke,fixed,1.647197846540725
9,hubspoke,uniform,0.8073537498923007
9,hubspoke,hubspoke,0.49481913958409346
10,fixed,fixed,1.161375927448121
10,fixed,uniform,1.3259369592347046
10,fixed,hubspoke,1.1338477112917638
10,uniform,fixed,1.4721343616370233
10,uniform,uniform,0.6161456650852559
10,uniform,hubspoke,0.5605953863951969
10,hubspoke,fixed,1.393850788769861
10,hubspoke,uniform,0.7078522124275078
10,hubspoke,hubspoke,0.44309276358567495
11,fixed,fixed,1.1318614926822015
11,fixed,uniform,1.121503949885149
11,fixed,hubspoke,1.1089908899199996
11,uniform,fixed,1.3875923523845035
11,uniform,uniform,0.6526257074064579
11,uniform,hubspoke,0.4871081861426032
11,hubspoke,fixed,1.4859138542336678
11,hubspoke,uniform,0.7528996132807487
11,hubspoke,hubspoke,0.4713217541847582
12,fixed,fixed,1.226663733837581
12,fixed,uniform,1.3399014299266077
12,fixed,hubspoke,1.7069759352936726
12,uniform,fixed,1.4101170768664524
12,uniform,uniform,0.6640770092559405
12,uniform,hubspoke,0.5362520731607592
12,hubspoke,fixed,1.803241030327276
12,hubspoke,uniform,0.8310508888222774
12,hubspoke,hubspoke,0.49813307475693536
13,fixed,fixed,1.1423233083588034
13,fixed,uniform,1.484551389981882
13,fixed,hubspoke,1.2852777491981513
13,uniform,fixed,1.3354201128995857
13,uniform,uniform,0.6965659498021065
13,uniform,hubspoke,0.5570989225492095
13,hubspoke,fixed,1.3741355781207063
13,hubspoke,uniform,0.8398567837463823
13,hubspoke,hubspoke,0.4832246746826862
14,fixed,fixed,1.1005057510176566
14,fixed,uniform,1.3429607531036536
14,fixed,hubspoke,1.1494851639203079
14,uniform,fixed,1.3221840795675104
14,uniform,uniform,0.6158461181574955
14,uniform,hubspoke,0.47884486797884257
14,hubspoke,fixed,2.072170799621082
14,hubspoke,uniform,0.8392987653515581
14,hubspoke,hubspoke,0.519355176529765
15,fixed,fixed,1.2706856910906605
15,fixed,uniform,1.6839928689693788
15,fixed,hubspoke,1.2238090564244408
15,uniform,fixed,1.4592583553774974
15,uniform,uniform,0.6600813180506314
15,uniform,hubspoke,0.5502246339213658
15,hubspoke,fixed,1.5895046467620988
15,hubspoke,uniform,0.7968114493506968
15,hubspoke,hubspoke,0.4986051514221195
16,fixed,fixed,1.3266493975270421
