trial,mu,demand,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
0,0.5,fixed,50,123.99120251736049,1.041609281826222,1.0,3.000000000000055,5.146891273733523,145,0.9434917555771094,194,25.044042515122932
0,0.5,uniform,50,9.438806064595813,0.8110482889019756,0.9759183673469387,0.029329796599859938,4.260040395061417,30,0.5681543991248637,79,1.9064728430280398
0,0.75,fixed,50,11.267597262319926,1.4156501122842535,0.9122448979591836,0.011243582821394298,3.6845979346463094,5,0.6750329560999877,54,2.2758565055558115
0,0.75,uniform,50,4.950926051274988,1.0246064700775634,0.8673469387755103,0.008644858710689093,3.7635618182248955,0,0.5172777205629935,49,1.0
0,1.0,fixed,50,9.262207630725417,1.549074222574975,0.9008163265306122,0.011641479826080894,3.3134693028312787,1,0.5912961941533372,50,1.8708030648811984
0,1.0,uniform,50,7.184228801358954,0.7114935571098718,0.9951020408163265,0.055219679733178775,3.919636924956337,10,0.4176927710843368,59,1.4510878827424285
0,1.25,fixed,50,6.066251089053873,1.3452374311102777,0.8485714285714286,0.006654945598002317,3.4558510750440767,0,0.5269554058389474,49,1.2252760445677957
0,1.25,uniform,50,5.830884290171628,0.7293632770737496,0.9906122448979592,0.0344549222357501,3.8304616856292655,4,0.46621804615172047,53,1.177736090134093
0,1.5,fixed,50,5.660292730397091,0.9599108301705912,0.9012244897959184,0.012142120781502244,3.6487591556298162,0,0.5762571554381333,49,1.1432795949233425
0,1.5,uniform,50,5.410919705701071,0.8161245818684287,0.9910204081632653,0.032414413611823185,3.794769127388208,2,0.3986112731940714,51,1.0929106291756514
0,2.0,fixed,50,5.360878969440089,1.0105090212499743,0.8979591836734693,0.011190224915296264,3.7090752690878315,0,0.5935586610334742,49,1.0828032804205443
0,2.0,uniform,50,5.273610174892008,0.995698308601127,0.976734693877551,0.019021895981024505,3.773389008503796,1,0.3763679291687161,50,1.0651765185492765
1,0.5,fixed,50,131.23198627552134,1.0138656640626267,1.0,2.000000000000119,5.186624352265116,155,0.9348285994123413,204,27.129872222614946
1,0.5,uniform,50,9.093924590545663,0.9266873809085353,0.9448979591836734,0.021969741556457777,4.304054132512255,32,0.5548882206824419,81,1.8800066900276724
1,0.75,fixed,50,10.323588902680402,1.3684749566830836,0.9028571428571428,0.011329241578959136,3.6766898751365655,1,0.7009603601350507,50,2.134217851587664
1,0.75,uniform,50,4.8371767179253,0.9834271883670167,0.8673469387755101,0.008634175501963605,3.762434071554884,0,0.5168354762529517,49,1.0
1,1.0,fixed,50,10.097129280705097,1.610966030386302,0.9216326530612244,0.019965393761155407,3.3711908399045507,2,0.5574154966198648,51,2.0874013643718663
1,1.0,uniform,50,8.760950273945884,0.6958499738244894,0.9963265306122449,0.07766168752313343,4.0704661090841725,19,0.4063937007874021,68,1.8111701897266055
1,1.25,fixed,50,5.528197426482975,1.0600051949961893,0.903673469387755,0.014302104755932337,3.6871036823058985,0,0.5426802338168435,49,1.1428562049422206
1,1.25,uniform,50,6.464934763737108,0.7538826374565561,0.9971428571428572,0.053763075307994256,3.8339173578132226,6,0.403620011242271,55,1.3365099397298772
1,1.5,fixed,50,5.623061766395758,1.0418967351107158,0.9163265306122449,0.01679125049109687,3.621640082349215,0,0.5878777421740207,49,1.162467715011977
1,1.5,uniform,50,5.547935216919821,0.856487370421198,0.9914285714285715,0.03577626278785205,3.7774859901901214,2,0.4090129723632261,51,1.1469366410287714
1,2.0,fixed,50,5.1906236891407485,0.9014974663384319,0.9110204081632651,0.01668045848524808,3.757562129796918,0,0.5884414188462916,49,1.0730688564479498
1,2.0,uniform,50,4.927464836303078,1.1162187186657462,0.8408163265306122,0.006664946231991116,3.756148416824638,0,0.4914401244167961,49,1.0186654578988594
