trial,k_commodities,method,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
0,0,MST,50,4.7512149083725035,0.898473551159808,0.873469387755102,0.009246531135780143,3.78261966814164,0,0.5593510877719428,49,1.0
0,0,kNN,50,11.413308815605827,0.7023991225224044,0.989795918367347,0.04345929479243111,4.42462100040332,44,0.5614630755864467,93,2.4021874479921976
0,1,Physarum-k1,50,7.299167388483088,1.4771956413876557,0.9008163265306122,0.011822742494283897,3.512274427869737,1,0.6242908762420956,50,1.536273885574115
0,1,Union-k1,50,10.000191178714193,1.4933258522184674,0.9028571428571428,0.012294321934308199,3.4123673067987204,3,0.6191003539216808,52,2.104765069896552
0,2,Physarum-k2,50,6.731596245345049,0.8606493484429495,0.9151020408163264,0.015643427350882932,3.7646500977767148,5,0.6137410162652883,54,1.4168157776830415
0,2,Union-k2,50,7.175204203246198,0.7883479283902345,0.9604081632653062,0.022834259287211403,3.828804209990512,8,0.5525312878482034,57,1.5101830461514558
0,3,Physarum-k3,50,6.9979553313305995,0.8475819106451852,0.9240816326530613,0.01962989945983732,3.7915251612716716,6,0.6002241531293291,55,1.4728770359343104
0,3,Union-k3,50,6.684689294398011,0.8323219163839348,0.9257142857142857,0.019837839887770888,3.8204145219366756,7,0.554658731163733,56,1.4069431552377003
0,5,Physarum-k5,50,13.479532635563478,0.774624614410279,0.976734693877551,0.07290867363529684,4.092363509599205,26,0.6686074697007174,75,2.837070706233493
0,5,Union-k5,50,17.207147629144934,0.6999401562694001,0.9799999999999999,0.06969698907622478,4.075274318652339,32,0.5432441760138054,81,3.621631090360239
0,10,Physarum-k10,50,17.361528934249417,0.6751378999428952,0.9873469387755103,0.06902303101200961,4.3586731197977455,44,0.5965127140633106,93,3.654124107005821
0,10,Union-k10,50,29.326553007151286,0.7078956204951355,0.989795918367347,0.05722066471096651,4.465242033477351,66,0.5286366880799427,115,6.172432435222531
1,0,MST,50,5.00534034503666,1.005438731108986,0.8681632653061225,0.00841029675738176,3.7564421057686426,0,0.5206363479163068,49,1.0
1,0,kNN,50,12.216651168882697,0.6796392228981111,0.9955102040816327,0.04674564168289386,4.443410467910958,46,0.629218810726778,95,2.440723372786595
1,1,Physarum-k1,50,13.799958839551804,1.6944993907335595,0.9016326530612245,0.010472678122513162,3.468549367469882,5,0.575321765868658,54,2.757047051403001
1,1,Union-k1,50,12.927505053040512,1.7756980202386665,0.8995918367346938,0.01043867415470274,3.4528482482737908,4,0.5756638981771114,53,2.5827424634289935
1,2,Physarum-k2,50,12.0342677366679,0.964144354316411,0.9359183673469387,0.02009482463131647,3.7322398112405026,11,0.6081266646936965,60,2.4042856043947514
1,2,Union-k2,50,11.615697772514412,0.9374609305054061,0.9183673469387756,0.015031070546237148,3.799347596717598,15,0.5533756230176707,64,2.3206609284886373
1,3,Physarum-k3,50,13.69116568709343,0.8615910766861926,0.959591836734694,0.024976919174558923,3.884396985319288,16,0.7016121916984162,65,2.735311635835056
1,3,Union-k3,50,16.698090045038608,0.7721154187567327,0.9726530612244899,0.032422997800162764,3.9529709148630583,26,0.5074395065633399,75,3.3360548721919745
1,5,Physarum-k5,50,17.376354446103452,0.7084951552551463,0.9767346938775511,0.06630631259395785,4.1909279089803135,34,0.6312586037364796,83,3.471563020351653
1,5,Union-k5,50,19.0699022715565,0.6859688010311532,0.9820408163265307,0.09178281993570336,4.2320287216258485,41,0.4962173221186632,90,3.8099112062312375
1,10,Physarum-k10,50,21.576033627255388,0.627503285843006,0.9946938775510203,0.14363865860484756,4.485487394097479,57,0.7089989956478071,106,4.3106027042996935
1,10,Union-k10,50,25.31572659362466,0.7177466200464585,0.9955102040816327,0.09496435022613106,4.397385225517255,57,0.5678690775921262,106,5.057743299859311
2,0,MST,50,4.8930236680977295,0.9780265766852938,0.88,0.009428612094678364,3.73526587213011,0,0.49630452451910045,49,1.0
