method,k_commodities,n_mean,n_std,cost_mean,cost_std,efficiency_mean,efficiency_std,robustness_mean,robustness_std,algebraic_connectivity_mean,algebraic_connectivity_std,network_entropy_mean,network_entropy_std,cyclomatic_number_mean,cyclomatic_number_std,betweenness_gini_mean,betweenness_gini_std,num_edges_mean,num_edges_std,steiner_ratio_mean,steiner_ratio_std
MST,0,50.0,0.0,4.816855092182325,0.15437461695483595,1.026335974177902,0.13663709036439614,0.8670884353741497,0.02446244856694087,0.009075742208293111,0.002405810147015138,3.7617586193852124,0.024854252698389496,0.0,0.0,0.5239590585408799,0.04872196686006299,49.0,0.0,1.0,0.0
Physarum-k1,1,50.0,0.0,8.835575175525882,2.20547148753645,1.4414608947379957,0.1633264887953732,0.899156462585034,0.020162613799482566,0.012396479320608342,0.004014169919230021,3.5171773689159096,0.09698829345477562,1.5333333333333334,1.8332810859848758,0.5896766426976531,0.03931850093294642,50.53333333333333,1.833281085984875,1.8301387304079073,0.42976306211853266
Physarum-k10,10,50.0,0.0,20.61074393369459,3.1478499107080724,0.6489270276229232,0.040671257001962106,0.9921904761904762,0.004060088579464708,0.176286202702181,0.07954735251424085,4.4601543679182525,0.0898628941695944,54.833333333333336,8.522114572194463,0.6562137874110999,0.0437998955571692,103.83333333333333,8.522114572194461,4.275444850285898,0.6164864617598821
Physarum-k2,2,50.0,0.0,8.867522608128816,2.229548776877331,0.9960166788211231,0.12576014973063518,0.9134013605442176,0.03060878860776041,0.01805182348540913,0.012049356482614374,3.73791461709753,0.06515524215364284,7.3,3.354358975710714,0.6032839181713303,0.04854132131544249,56.3,3.3543589757107153,1.83925339703267,0.45269996374127885
Physarum-k3,3,50.0,0.0,10.861920614195821,3.0192375522377506,0.8947485776669333,0.12164609157322816,0.9385442176870747,0.025635567173520286,0.026248226846341368,0.017009620360798478,3.864858526237984,0.10129973895272863,13.833333333333334,6.242696882583367,0.6258680232910769,0.052276529850855895,62.833333333333336,6.242696882583371,2.2549621106907165,0.6209912944021141
Physarum-k5,5,50.0,0.0,15.322769665597104,3.9196025676509127,0.7780827971344323,0.06374929149419105,0.9735102040816327,0.013493186916027019,0.06280024654928425,0.026105417749589674,4.0961429303746835,0.12349580449061663,27.1,8.188932817507736,0.6662981242767948,0.04774693211900272,76.1,8.188932817507736,3.181166623126126,0.804740375892419
Union-k1,1,50.0,0.0,8.733092182102247,2.0739236194761608,1.4530963360154885,0.18613888540361256,0.8958775510204081,0.018674374985251173,0.011529791310260487,0.003123325588460417,3.523622939661403,0.1036454856907537,1.4666666666666666,1.736689941821219,0.5880363198377331,0.041282925302326384,50.46666666666667,1.7366899418212194,1.8112601467003304,0.4153039315671749
Union-k10,10,50.0,0.0,29.48954785446604,6.027954217680287,0.6791699855479149,0.0473141982633423,0.9951292517006802,0.0030916774430220562,0.15781894264419125,0.07463401799595355,4.423717644767979,0.12077507379601735,63.333333333333336,12.172137016162358,0.510650600838163,0.04877186143445543,112.33333333333333,12.172137016162358,6.120200381218264,1.2239826734736625
Union-k2,2,50.0,0.0,9.685675275006465,2.320331141306306,0.8764080710700451,0.13509327299780918,0.9467755102040817,0.03588229908080374,0.024562675437910523,0.013995119173652114,3.8042803716157496,0.06940082412827471,12.433333333333334,5.302460933757362,0.5348875892035838,0.041484374370344364,61.43333333333333,5.302460933757362,2.012476129241542,0.4845573158733381
Union-k3,3,50.0,0.0,11.318472933126968,2.7169564845388137,0.833749176967658,0.0819230384643178,0.9622721088435374,0.0242738978185697,0.028529381616378906,0.01412597408183342,3.867249295653726,0.08277248911109494,17.333333333333332,6.35899218502393,0.5309147529155883,0.06412272999560674,66.33333333333333,6.35899218502393,2.350472183042532,0.5584627465214526
Union-k5,5,50.0,0.0,16.85929595436739,4.997849751710048,0.7481924872463719,0.06642996467888468,0.984095238095238,0.010367160384061515,0.06845014800021644,0.03498376306138428,4.06888678867517,0.1275333671959585,31.866666666666667,10.556035480116163,0.5210566310039668,0.05427857663807289,80.86666666666666,10.556035480116162,3.4962826476990063,1.019153567071167
kNN,0,50.0,0.0,11.80880082592455,0.7142380785589086,0.7762343742477095,0.11413996340598595,0.9823945578231292,0.017347305814996248,0.045120696129167547,0.02170625271703269,4.438256000136516,0.0347779901048099,46.166666666666664,3.5143384459445106,0.6112622946768181,0.05883465720795763,95.16666666666667,3.514338445944509,2.451158539378811,0.11709659917607705
