n,trial,method,cost,avg_shortest_path,robustness
10,0,MST,1.4822582257578383,0.53825751385656,0.8333333333333334
10,0,kNN,4.486582084791255,0.4386412232729882,0.9666666666666666
10,0,RGG,3.2457625931253196,0.4391260996438267,0.9222222222222222
10,0,Physarum,5.319244775901654,0.5937104725386195,0.9444444444444444
10,1,MST,2.306854296131624,0.7446701864556311,0.8333333333333334
10,1,kNN,5.393697416299862,0.9702023446379688,0.9222222222222222
10,1,RGG,3.3669770808042525,0.6858297851459293,0.888888888888889
10,1,Physarum,5.364783183546055,0.805917240145102,0.8666666666666666
10,2,MST,1.823703497984796,0.6113069839354512,0.8333333333333334
10,2,kNN,4.417068692984444,0.5166411212583684,0.9222222222222222
10,2,RGG,3.0268841772903103,0.5241175691439376,0.9222222222222222
10,2,Physarum,6.520272724739323,0.7770190306170455,0.9222222222222222
10,3,MST,1.614097995987461,0.5277829636075198,0.8444444444444444
10,3,kNN,6.089529946673481,0.5008580737975118,1.0
10,3,RGG,2.964070918929707,0.5194563408292576,0.9222222222222222
10,3,Physarum,6.41014525667811,0.8028609484650711,0.9555555555555555
10,4,MST,2.2251153092379674,0.7503445771272687,0.8222222222222222
10,4,kNN,6.753322303254345,0.5574815168103284,1.0
10,4,RGG,2.7896021252192225,0.6648537592879725,0.888888888888889
10,4,Physarum,6.465793419900756,0.8096973307719563,0.9111111111111111
10,5,MST,2.0442124314436376,0.629868567291455,0.8444444444444444
10,5,kNN,6.045535818034198,0.5452095128185352,0.9666666666666666
10,5,RGG,3.031264512995171,0.5938888209820257,0.888888888888889
10,5,Physarum,7.494547569513127,0.737493969564471,0.9666666666666666
10,6,MST,2.210347966529088,0.733742384578429,0.8444444444444443
10,6,kNN,5.98689486996314,0.600378651563793,1.0
10,6,RGG,2.4845969081649755,0.7334567407454055,0.8666666666666666
10,6,Physarum,5.044732185063536,0.8880028648976895,0.9222222222222222
10,7,MST,2.2874107099977574,0.7660131164541428,0.8444444444444444
10,7,kNN,6.640235180335668,0.6549650048601054,1.0
10,7,RGG,2.58478122214223,0.7639513398892219,0.8444444444444444
10,7,Physarum,7.265163256026118,0.8272746050544193,0.9666666666666666
10,8,MST,1.7798031551147162,0.5903548864093173,0.8111111111111112
10,8,kNN,6.34038457380597,0.4623191602759128,1.0
10,8,RGG,3.3456122658709404,0.49822975125772123,0.9333333333333332
10,8,Physarum,6.266874827674555,0.6551835379226995,0.9333333333333333
10,9,MST,2.2426842993776104,0.7866339329288893,0.7999999999999999
10,9,kNN,6.018542289204403,0.6702492515167354,0.9555555555555555
10,9,RGG,3.1595764805412863,0.7405112131517312,0.8555555555555555
10,9,Physarum,7.3958767444253155,0.7980564812791298,0.9555555555555555
10,10,MST,2.3886288216195832,0.7932464991940893,0.8222222222222222
10,10,kNN,6.696197567142536,0.5955302825091056,1.0
10,10,RGG,3.1749995601339016,0.720768740516311,0.888888888888889
10,10,Physarum,10.192237564618729,0.9257097470457045,0.9666666666666666
10,11,MST,2.0756574182764376,0.8278583512125368,0.7777777777777779
10,11,kNN,5.731817608204854,0.6277413157604375,1.0
10,11,RGG,2.3207506878447433,0.8165159647369904,0.8111111111111111
10,11,Physarum,5.215221435960243,0.808852776372314,0.9111111111111111
10,12,MST,1.9217762065360158,0.7407652187169891,0.8111111111111111
10,12,kNN,4.763420006203055,0.6478298080234736,0.9222222222222222
10,12,RGG,2.3619266530765506,0.7336614448528505,0.8444444444444444
10,12,Physarum,5.570745221097554,0.779732245110344,0.9222222222222223
10,13,MST,2.303299623010564,0.6979622840497298,0.8444444444444444
10,13,kNN,6.82225057733744,0.5597123457413731,1.0
10,13,RGG,2.8450642631229806,0.6819671765105991,0.888888888888889
10,13,Physarum,5.243712816620795,0.839593175129332,0.9111111111111111
10,14,MST,1.694456888797208,0.7108171268435535,0.7777777777777778
10,14,kNN,4.279694209515567,0.46484686566770955,1.0
10,14,RGG,3.247091615187082,0.47180596263871677,1.0
10,14,Physarum,5.125317667286812,0.6804642195101372,0.9444444444444444
10,15,MST,1.7746694080139491,0.7840150200038648,0.7777777777777778
10,15,kNN,4.372255716929871,0.6958288529713507,0.9111111111111111
10,15,RGG,2.375229515484256,0.7723612952156352,0.8111111111111111
10,15,Physarum,6.666085130339326,0.7371893566813046,0.9333333333333332
10,16,MST,1.7023828647366006,0.568174473686053,0.8
10,16,kNN,5.298300576328076,0.4310688418087671,1.0
10,16,RGG,3.396157441752695,0.4910556781100981,0.9555555555555555
10,16,Physarum,4.793287548414167,0.7104599525960589,0.9111111111111111
10,17,MST,1.4969717141803793,0.5614615107320104,0.8
10,17,kNN,3.8172526295434817,0.4084614326091782,1.0
10,17,RGG,3.1060710493118466,0.48438884482267025,0.9444444444444444
10,17,Physarum,6.700878733356311,0.6431670382853465,0.9777777777777779
10,18,MST,2.511890360840196,0.7448264160475465,0.8666666666666666
10,18,kNN,7.495945334623282,0.6113634756284834,1.0
10,18,RGG,2.511890360840196,0.7448264160475465,0.8666666666666666
10,18,Physarum,7.152782890592176,0.9435153870773821,0.9444444444444444
10,19,MST,2.3343084991143206,0.7389707946542431,0.8555555555555555
10,19,kNN,7.5464526295518555,0.5612449255563162,1.0
10,19,RGG,2.827427707381087,0.7232951831810317,0.888888888888889
10,19,Physarum,6.4261740314175775,0.9166971984749787,0.9333333333333333
20,0,MST,3.3390661478409167,1.0002194775775641,0.85
20,0,kNN,8.315686142730787,0.9296883288744389,0.9815789473684211
20,0,RGG,6.945476697708539,0.9662726286475248,0.9131578947368423
20,0,Physarum,10.299851883621146,1.1298983398325786,0.9289473684210525
20,1,MST,3.4094946949059515,0.8668665043837519,0.8526315789473683
20,1,kNN,9.23723578600373,0.7170800156238982,0.9631578947368421
20,1,RGG,7.6905973990407155,0.711069692424173,0.9552631578947368
20,1,Physarum,10.81443514732789,1.397460965041547,0.9105263157894739
20,2,MST,3.051319248576534,1.017222351141018,0.7947368421052632
20,2,kNN,7.517109514102001,0.6801834123021929,0.9921052631578947
20,2,RGG,5.876577249006287,0.6895525660932279,0.9763157894736842
20,2,Physarum,9.343943903870676,1.1635513046043622,0.9236842105263158
20,3,MST,3.595590684478395,0.8723518430595316,0.8552631578947368
20,3,kNN,9.012796739675464,0.8042001755536989,0.9736842105263157
20,3,RGG,6.528952769866852,0.8169940878287791,0.9289473684210527
20,3,Physarum,9.729433400927777,1.2460362384322936,0.9131578947368422
20,4,MST,3.0980460000518097,0.82253599959529,0.8605263157894736
20,4,kNN,7.60032340746939,0.7264743805354773,0.9710526315789474
20,4,RGG,7.107787121727458,0.7661823923426269,0.9263157894736841
20,4,Physarum,9.713562746374585,1.2684681575378691,0.8947368421052632
20,5,MST,3.0050914320122892,0.7495712066223273,0.8710526315789474
20,5,kNN,9.059692914483149,0.6061780544868156,1.0
20,5,RGG,9.16915207324419,0.6167547596881489,0.9736842105263157
20,5,Physarum,5.114255105467873,1.1011259564390006,0.9026315789473683
20,6,MST,3.075912828532654,0.8988183256939613,0.8342105263157894
20,6,kNN,9.343250238177085,0.8246906898111954,0.9315789473684211
20,6,RGG,7.002326458113385,0.8375608562730007,0.9342105263157894
20,6,Physarum,11.573892389982886,1.1010427220223116,0.9105263157894736
20,7,MST,3.1149281864525364,1.0077322620917828,0.8236842105263158
20,7,kNN,7.377741323505304,0.694647696952266,0.9763157894736842
20,7,RGG,7.271607226092721,0.6863706091294938,0.9763157894736842
20,7,Physarum,9.318433314318334,1.094189964594379,0.9210526315789472
20,8,MST,2.772244508010397,0.688550488510559,0.876315789473684
20,8,kNN,6.897936880740127,0.5609611813767011,1.0
