n,k,ep_return,rl_cost,rl_steiner_ratio,rl_algebraic_connectivity,rl_robustness,rl_efficiency,rl_n,rl_k,std_cost,std_efficiency,std_robustness,std_algebraic_connectivity,std_network_entropy,std_cyclomatic_number,std_betweenness_gini,std_num_edges,std_steiner_ratio
50,1,0.5191528094181606,116.2616599039397,24.99101761154285,2.0000000000000426,1.0,0.816969639025588,50,1,9.384097334201558,1.3569421800954649,0.936326530612245,0.027608305321704545,3.521873369993547,2,0.5716530849825376,51,2.0171580376646285
20,3,1.0297726194219863,88.68131097717546,34.992843227045334,11.704635524169476,1.0,0.5255059721247863,20,3,6.220218236414165,0.7451035271476261,0.9157894736842105,0.10300579535784768,2.9754140705882866,7,0.5444664031620554,26,2.454441856874114
20,1,1.0997749767287748,57.838187985745705,21.16264873531548,2.966474735972766,1.0,0.6825332670101951,20,1,10.870726247665928,0.9899661385527134,0.9421052631578946,0.10730902904055012,2.949422572057645,7,0.5919700214132761,26,3.9775340322526196
50,3,1.2679966063403891,254.27255911897177,48.04191229297982,6.000000000000294,1.0,0.6362966972601676,50,3,10.799491651846271,1.0987050981915178,0.9289795918367346,0.01368448640793136,3.880167876298842,12,0.6057901118146303,61,2.040441298677501
20,5,1.1243909163921462,93.97326273854321,34.0690552654327,16.000000000000018,1.0,0.5036848384903911,20,5,11.628199833185146,0.6205329553026547,0.9868421052631577,0.4913118691840282,3.3170978378824674,18,0.6608527131782946,37,4.215686155928201
20,2,1.0453728453235729,79.765460144395,24.291581788251715,7.856930801292675,1.0,0.5631315569039921,20,2,8.86656876811028,0.7662589892018833,0.9210526315789472,0.08239557828417768,3.1344541722001655,10,0.6124733475479749,29,2.700203572095155
20,3,0.9704431001035027,91.10108855258815,29.455747709965614,13.159969711147921,1.0,0.5375705393172004,20,3,8.491736187916231,0.8373126221966406,0.9526315789473683,0.11058626028068894,3.1653292309130547,11,0.5863043478260872,30,2.7456361141772496
20,2,1.1833550758627784,90.67854210766794,30.668763175326724,9.96958767290902,1.0,0.5420844987303817,20,2,6.636698520617902,0.9424945231934109,0.8973684210526317,0.062303064640012853,2.9145324759420603,5,0.6468921389396711,24,2.244625139133771
20,1,1.1978224988673976,62.26889150036763,18.987186699676172,4.00000000000003,1.0,0.7163821454762612,20,1,11.755087164475052,1.2388377461021176,0.9315789473684208,0.09119760998082346,2.918727393888618,6,0.5943159922928707,25,3.5843906850587994
20,1,0.7977425239179756,64.56231790198957,23.626827279988852,3.0000000000000058,1.0,0.5620967186393597,20,1,9.120618215956936,0.890800491959347,0.9421052631578947,0.1463610989041151,2.9271134625959085,6,0.6654589371980677,25,3.337725135616513
