method,n,cost_mean,cost_std,avg_shortest_path_mean,avg_shortest_path_std,robustness_mean,robustness_std
MST,10,2.0110264846343875,0.3196259509260065,0.6923536403892641,0.09486051060872804,0.8222222222222222,0.026734805732543745
MST,20,3.08366941560751,0.23304993317784742,0.8454704976806744,0.12564359548160045,0.8514473684210525,0.0229014222734965
MST,30,3.7267097156605486,0.23479221550278861,0.8695713394851046,0.11540388775192606,0.8548850574712643,0.023036474454225724
MST,50,4.768211619597327,0.2427615938939961,1.0051609652438833,0.11489535712214284,0.8685102040816327,0.02193605008924925
Physarum,10,6.331693849158612,1.250316586859637,0.7840298788769553,0.09581051104968902,0.9349999999999999,0.026558014518271094
Physarum,20,9.353969404714814,1.7349072422687402,1.1225670413197966,0.13929140204697293,0.9131578947368422,0.015858574555642515
Physarum,30,8.077399222655401,1.7531462476913486,1.3096506473371834,0.13666316203089293,0.9017241379310346,0.022889988539348625
Physarum,50,5.815743750330942,0.3663269843259004,1.1481167704305246,0.14986895703702102,0.8721836734693877,0.01945407842833988
RGG,10,2.9082868569609377,0.3603964821647068,0.640203406335474,0.1226468124566306,0.8916666666666666,0.04767158060250363
RGG,20,7.77952471078297,1.307188187589618,0.7023923703829549,0.14861938086284035,0.9573684210526316,0.033587985827557086
RGG,30,18.888067503257773,2.8166708498176756,0.5838129798164319,0.05381188389195144,0.9958045977011494,0.006027925455236873
RGG,50,48.76967681540048,4.368756758289397,0.5572400872696394,0.040906961116440294,0.9996122448979593,0.0008731561320287529
kNN,10,5.749769001536339,1.1067315023696023,0.5760287003544221,0.12546746330629732,0.9783333333333333,0.033132925817521315
kNN,20,7.985721700424877,0.8381097183910509,0.6978304257617776,0.09474226810698987,0.9723684210526315,0.023028788945142663
kNN,30,9.459086908407281,0.7529569232977797,0.7257280376062669,0.11050404401157594,0.9748850574712643,0.024027561457440085
kNN,50,11.492163961646662,0.540406754361938,0.8701523986429821,0.12560745588149097,0.9713061224489795,0.017601705347135618
