T,demand,trial,steiner_ratio,algebraic_connectivity,cyclomatic_number
200,Fixed,0,1.1198162280421746,9.88407342447726e-05,1
200,Uniform,0,1.0138108062043527,0.00016395900494269594,0
200,Fixed,1,1.0476887597951658,9.253473168590088e-05,0
200,Uniform,1,1.0096404074035021,0.00020082672114512273,0
200,Fixed,2,1.1465524852437363,0.00016090085014893504,0
200,Uniform,2,1.0035257994124385,0.00016155519835320118,0
200,Fixed,3,1.0718149295269261,9.524449963236036e-05,0
200,Uniform,3,1.0082719360423527,0.00012281619614716666,0
200,Fixed,4,1.1082672231109556,0.00014489820931384517,0
200,Uniform,4,1.0217959624802921,0.00018933434614329452,0
200,Fixed,5,1.1112958158095385,0.0001250570623725602,0
200,Uniform,5,1.015358879093117,0.000169214101590123,0
200,Fixed,6,1.0414447687084987,0.00018327626261085316,0
200,Uniform,6,1.017947882281055,7.65487655072715e-05,0
200,Fixed,7,1.0807405399051466,0.00010775994890119694,0
200,Uniform,7,1.007609204503494,0.0001829045926884314,0
200,Fixed,8,1.0316004670461463,0.00019707336197686664,0
200,Uniform,8,1.0019721000109956,0.00018186043342041324,0
200,Fixed,9,1.0955940314545898,0.00024590365329117746,0
200,Uniform,9,1.0151278431592932,0.00010533136187382231,0
200,Fixed,10,1.080239667510216,0.00011911965835333758,0
200,Uniform,10,1.0112222323517892,0.00013459717529391176,0
200,Fixed,11,1.0760419601000337,0.00023191055488140815,0
200,Uniform,11,1.0033941997824476,0.00023423883142395643,0
200,Fixed,12,1.1763832919316088,0.0001308314217492124,0
200,Uniform,12,1.015198180797686,9.983411051071856e-05,0
200,Fixed,13,1.1255526312248825,0.00017658073829172503,0
200,Uniform,13,1.0229286807500637,0.00016077234475378723,0
200,Fixed,14,1.0707765587594245,9.286398982381788e-05,1
200,Uniform,14,1.0082381814856562,9.676236645171689e-05,0
200,Fixed,15,1.0570647164895637,9.01574622518468e-05,0
200,Uniform,15,1.0018742936245508,9.549707839765067e-05,0
200,Fixed,16,1.053236018513667,0.00011897239019051928,0
200,Uniform,16,1.012654417646081,0.00011567078187260752,0
200,Fixed,17,1.0700416683293972,0.00012934626267179964,0
200,Uniform,17,1.004940692841302,0.00013045789903799742,0
200,Fixed,18,1.0968315528019967,0.00016201935413164963,0
200,Uniform,18,1.0,0.00015505895265132815,0
200,Fixed,19,1.056059617224603,0.00016122666801812431,1
200,Uniform,19,1.0099361024943365,0.00011528869841080447,0
200,Fixed,20,1.0411155545949802,1.7277897249639618e-05,0
200,Uniform,20,1.018452649610986,1.3165708852300483e-05,0
200,Fixed,21,1.072427546132031,0.0001212442766320869,0
200,Uniform,21,1.006652599719667,0.00017038500287006744,0
200,Fixed,22,1.069050757106009,0.00010605452825008862,0
200,Uniform,22,1.000633641575191,9.81819940195466e-05,0
200,Fixed,23,1.0489831220524723,8.479622341795741e-05,0
200,Uniform,23,1.002680254665783,0.00010810902915536561,0
200,Fixed,24,1.0142981047959734,0.00013276020531380423,0
200,Uniform,24,1.0031182296818957,0.00015045767381790246,0
200,Fixed,25,1.1429677314733102,0.00024961795512239973,0
200,Uniform,25,1.011587426921594,0.0002875307033450812,0
200,Fixed,26,1.0592139276460757,8.421832163020897e-05,0
200,Uniform,26,1.0101729602647327,8.496857362948283e-05,0
200,Fixed,27,1.044873073340235,7.971917031250025e-05,0
200,Uniform,27,1.0008824588330971,8.164035765833903e-05,0
200,Fixed,28,1.0545544934040123,0.00014523434925899084,0
200,Uniform,28,1.0064604266286588,0.00015856307978189948,0
200,Fixed,29,1.0852611311696925,0.00022833762300888068,0
200,Uniform,29,1.0027730601006222,0.00016053388572757576,0
400,Fixed,0,1.1198162280421746,9.88407342447726e-05,1
400,Uniform,0,1.1339655873052161,0.00021180074997306363,4
400,Fixed,1,1.0409155628273021,8.875260936068244e-05,0
400,Uniform,1,1.2249020211345907,0.0003976779067982809,3
400,Fixed,2,1.1787586570600623,0.00016084506117920757,0
400,Uniform,2,1.0789397895429393,0.00014621253088166881,2
400,Fixed,3,1.2025833055291337,9.74585739600382e-05,0
400,Uniform,3,1.0950684267229984,0.00021009254542735947,1
400,Fixed,4,1.1219881317945761,0.00014479846606511805,0
400,Uniform,4,1.1765107940217614,0.00039418775686652063,5
400,Fixed,5,1.1405653141027858,0.00012600261012063262,0
400,Uniform,5,1.1683681972652493,0.0003078339061267393,3
400,Fixed,6,1.1253611800643344,0.00014112902445571096,0
400,Uniform,6,1.1900298759970416,0.0005347013314244858,3
400,Fixed,7,1.1049893739918282,0.00010780039641816743,0
400,Uniform,7,1.084305803602454,0.00017316972151490032,2
400,Fixed,8,1.0456570109923737,0.00019727890136240575,0
400,Uniform,8,1.0956195517379737,8.03206199430435e-05,0
400,Fixed,9,1.1004083063902386,0.00024610267609788167,0
400,Uniform,9,1.1247657562580091,0.00020606877663255897,0
400,Fixed,10,1.0808659321712033,0.00011850950280349373,0
400,Uniform,10,1.094000114792836,0.0002809535400090281,1
400,Fixed,11,1.1196940946636025,0.0002187100674972942,0
400,Uniform,11,1.1069666748299907,0.00024474498399085004,2
400,Fixed,12,1.0750893751284114,0.00013027818338924148,0
400,Uniform,12,1.2020074811505383,0.00017456062244754593,7
400,Fixed,13,1.264675518717438,0.00018919544328145914,0
400,Uniform,13,1.1639468934315742,0.0004116576672466449,4
400,Fixed,14,1.148777783879052,9.288003929591748e-05,0
400,Uniform,14,1.051069910031907,7.341179720112315e-05,1
400,Fixed,15,1.0656023380269513,9.001149433128773e-05,0
400,Uniform,15,1.1218542408008747,0.0001938015096017747,1
400,Fixed,16,1.086652850219622,0.00012432230408819886,0
400,Uniform,16,1.1504733337598758,0.00018139456633643424,1
400,Fixed,17,1.091202109884977,0.0001352572445206011,0
400,Uniform,17,1.1867312134770447,0.00016229136158191681,3
400,Fixed,18,1.1346745635271651,0.0001718659229827169,0
400,Uniform,18,1.1921594200740628,0.0002745380964608151,1
400,Fixed,19,1.056059617224603,0.00016122666801812431,1
400,Uniform,19,1.1792764622803305,0.00019918099368695547,4
400,Fixed,20,1.0374135354074547,1.727772910943262e-05,0
400,Uniform,20,1.2362785754119767,7.605135784079602e-05,6
400,Fixed,21,1.0858032495396055,0.00012130583608993685,0
400,Uniform,21,1.2026968085469214,0.0003609368708307131,5
400,Fixed,22,1.0568925214881126,0.00010597590854297265,0
400,Uniform,22,1.1295190869063674,0.00017097499789029717,1
400,Fixed,23,1.0777677121260427,9.058634048646902e-05,1
400,Uniform,23,1.1540291355413583,0.00022425864697038183,4
400,Fixed,24,1.0849275832298804,0.00012542404714123778,0
400,Uniform,24,1.0846365852811584,0.00011442549802710228,2
400,Fixed,25,1.1560681598111442,0.000235237891896667,0
400,Uniform,25,1.1003733443156412,0.00021339711798231323,4
400,Fixed,26,1.0443726940809108,8.408771963829535e-05,0
400,Uniform,26,1.1146095232044575,0.0001349642169956543,0
400,Fixed,27,1.1775963000059044,0.00013245738146196997,0
400,Uniform,27,1.1181119805798025,0.0002991473368679133,2
400,Fixed,28,1.164939603164442,0.00014608567267270685,0
400,Uniform,28,1.176053398257947,0.0003275811854791875,4
400,Fixed,29,1.2349277930390146,0.0002287487935699118,0
400,Uniform,29,1.08763596417845,0.00014432473815413895,1
800,Fixed,0,1.1277437629126363,9.803668031557161e-05,0
800,Uniform,0,1.283776522776585,0.00023422876242848412,7
800,Fixed,1,1.0647256259948783,8.980233062256397e-05,0
800,Uniform,1,1.3752202817562487,0.0007560033344963015,13
800,Fixed,2,1.1544271413199012,0.00016022816490199673,0
800,Uniform,2,1.2241438514839011,0.00030422853925199904,8
800,Fixed,3,1.2980684395205728,9.747931009034962e-05,0
800,Uniform,3,1.2109196349545557,0.0006022096937535341,5
800,Fixed,4,1.1430877436861264,0.00014477954516973874,0
800,Uniform,4,1.2362690685860602,0.00041719846792593246,7
800,Fixed,5,1.2347351587608442,0.00012601501429879887,0
800,Uniform,5,1.350301947896005,0.0007138041162606371,11
800,Fixed,6,1.1773363918283273,0.00013971036269525475,0
800,Uniform,6,1.336236954251588,0.001099954170581948,10
800,Fixed,7,1.2612925660075023,9.519041931379792e-05,0
800,Uniform,7,1.2517845449570166,0.00019699107672841866,3
800,Fixed,8,1.0579565028818978,0.00019669420791258472,0
800,Uniform,8,1.2218699866806162,0.00016190680652048589,5
800,Fixed,9,1.2241485277753759,0.0002529972478862887,0
800,Uniform,9,1.19852650256403,0.00029815649514813874,5
800,Fixed,10,1.176127422196597,0.0001271136166344903,0
800,Uniform,10,1.2003267624639957,0.00021649243393908986,5
800,Fixed,11,1.1783034578191731,0.0002695937580078231,0
800,Uniform,11,1.1731300372653188,0.00035592422166840567,5
800,Fixed,12,1.329868109463187,0.0001299746390207208,0
800,Uniform,12,1.315010375902581,0.0005383676617107412,11
800,Fixed,13,1.450782988766411,0.00023229647350710473,0
800,Uniform,13,1.1814815043040883,0.0006971686155098433,6
800,Fixed,14,1.2432957763384902,8.774899126341948e-05,0
800,Uniform,14,1.2296363759493307,0.00021354385962657542,5
800,Fixed,15,1.372916133695837,0.00025601342446990235,0
800,Uniform,15,1.204665414704355,0.0002354415658412942,5
800,Fixed,16,1.059769056492895,0.00012328706663640153,0
800,Uniform,16,1.2946287827266605,0.000597389607076641,7
800,Fixed,17,1.1712531981334582,0.0001374543321246167,0
800,Uniform,17,1.333230023170408,0.0008713344914566576,12
800,Fixed,18,1.3079719276391373,0.00015330462445184697,0
800,Uniform,18,1.3161903456167496,0.00024276097451809598,8
800,Fixed,19,1.056059617224603,0.00016122666801812431,1
800,Uniform,19,1.2436632911531176,0.0004403381360790525,8
800,Fixed,20,1.0244429764779053,1.727763835378102e-05,0
800,Uniform,20,1.2657486298427147,0.00017800366649002892,8
800,Fixed,21,1.2292184460101134,0.00012236143126019173,0
800,Uniform,21,1.2628676982367337,0.0005629264478695153,6
800,Fixed,22,1.041647622698536,0.00010591741131590761,0
800,Uniform,22,1.2944532542592282,0.0010194338318108597,9
800,Fixed,23,1.0615926080907003,8.522756451428086e-05,0
800,Uniform,23,1.2738700110160006,0.000396042143765939,6
800,Fixed,24,1.1848306437990013,0.00012528189805151944,0
800,Uniform,24,1.207533196071049,0.0006012093084777733,7
800,Fixed,25,1.329580036457833,0.00024028770230627916,0
800,Uniform,25,1.224743982992553,0.0004697706178279485,10
800,Fixed,26,1.3892557146854538,0.00010147861619066256,0
800,Uniform,26,1.2643021016589175,0.0006786769062046528,6
800,Fixed,27,1.2144693366249997,0.0001324542893241559,0
800,Uniform,27,1.2728715422028494,0.0005097999444771652,7
800,Fixed,28,1.2583091879987385,0.0001491636890243218,0
800,Uniform,28,1.2786772355607805,0.0006775685404468611,10
800,Fixed,29,1.3249525988252322,0.00022978857742993948,0
800,Uniform,29,1.1862843384681379,0.00035707087258749447,7
1600,Fixed,0,1.4499747246846595,0.00029794857315195236,0
1600,Uniform,0,1.2614162940481897,0.00022359660344850138,8
1600,Fixed,1,1.1425002350687603,9.011776161882559e-05,0
1600,Uniform,1,1.4289004750341483,0.0011040431465079825,15
1600,Fixed,2,1.2412222973442932,0.00019962145070463852,1
1600,Uniform,2,1.2948235099270093,0.0007983544148102061,10
1600,Fixed,3,1.315784975972721,8.193942478885896e-05,0
1600,Uniform,3,1.2287858885976686,0.000265259380282362,8
1600,Fixed,4,1.8624951944092891,0.0002005667959716964,2
1600,Uniform,4,1.2956583359037384,0.0003272511684028942,7
1600,Fixed,5,1.5932317923716521,0.00017426660694448953,1
1600,Uniform,5,1.3680664172987786,0.0005398160528486055,13
1600,Fixed,6,1.843938383077618,0.00023919254435237895,2
1600,Uniform,6,1.4061288985922498,0.001376373335731487,14
1600,Fixed,7,1.5605882658531753,0.00015193225363084484,0
1600,Uniform,7,1.2741311462831908,0.00042411852541141145,5
1600,Fixed,8,1.043535185576191,0.00019711579747295403,0
1600,Uniform,8,1.3417758517197194,0.00047065073806189256,11
1600,Fixed,9,1.5246690043133448,0.0005997367611603824,1
1600,Uniform,9,1.2418423668646998,0.00040388115200090164,7
1600,Fixed,10,1.184221184277258,0.0001261675411208132,0
1600,Uniform,10,1.2539000159718645,0.00044771694103411475,8
1600,Fixed,11,1.7340390871579057,0.00033851793034407997,1
1600,Uniform,11,1.202362284086315,0.00015726805247515482,5
1600,Fixed,12,2.1380526666977557,0.0002101370717765,4
1600,Uniform,12,1.2593187175593306,0.0005461156091875612,8
1600,Fixed,13,1.7484905728319384,0.00024332465971342622,1
1600,Uniform,13,1.2294877030029412,0.00033121069090799517,8
1600,Fixed,14,1.4468340435584244,0.00010645802066296681,0
1600,Uniform,14,1.2846359672902699,0.00043883062542168495,9
1600,Fixed,15,2.1969853871317913,0.00025893278617510236,5
1600,Uniform,15,1.2562693235748013,0.00022240623802130435,10
1600,Fixed,16,1.6806794921516872,0.0003248591827918157,2
1600,Uniform,16,1.4232658576378052,0.0007007868182303431,13
1600,Fixed,17,1.1458330570053834,0.0001366997566349673,0
1600,Uniform,17,1.4180275929026798,0.0008093027628020657,15
1600,Fixed,18,1.680351654631239,0.00017105858412571964,1
1600,Uniform,18,1.325907218327269,0.00023468805171999443,7
1600,Fixed,19,1.1686922250842615,0.00017779200700726602,1
1600,Uniform,19,1.3075751616583873,0.0007874438323851806,11
1600,Fixed,20,1.6876643515668817,1.7350618729410648e-05,3
1600,Uniform,20,1.2980680551543657,0.0002104165405131824,9
1600,Fixed,21,1.2202502619808104,0.00012305181252877516,0
1600,Uniform,21,1.273975151609078,0.0005593094983504195,7
1600,Fixed,22,1.1977112209894882,0.00011903678891430273,0
1600,Uniform,22,1.2806465580571584,0.0012612657948145682,10
